URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=51089 ;EVID-CS Órganos Judiciales-EXPRES-150;EVIDCSOOJJEXPRES150;150;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51090 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-157;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES157;157;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51091 ;GESTOR DE USUARIOS-CGF Órganos Judiciales-EXPRES-117;GESTOR DE USUARIOSCGFOOJJEXPRES117;117;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51092 ;AG SEÑALAMIENTOS OJ-Fiscales-EXPRES-103;AG SEÑALAMIENTOS OJFiscalesEXPRES103;103;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51093 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-141;MICROEMPRESASCSOOJJEXPRES141;141;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51094 ;EVID-CS Órganos Judiciales-EXPRES-151;EVIDCSOOJJEXPRES151;151;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51095 ;CALCULADORA 988-CS Órganos Judiciales-EXPRES-124;CALCULADORA 988CSOOJJEXPRES124;124;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51096 ;TEJU-CS Órganos Judiciales-EXPRES-216;TEJUCSOOJJEXPRES216;216;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51097 ;ESCRITORIO VIRTUAL-CS Órganos Judiciales-EXPRES-121;ESCRITORIO VIRTUALCSOOJJEXPRES121;121;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51098 ;EVID-CS Órganos Judiciales-EXPRES-152;EVIDCSOOJJEXPRES152;152;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51139 ;SORTEO JURADOS-CS Órganos Judiciales-EXPRES-101;SORTEO JURADOSCSOOJJEXPRES101;101;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51140 ;AG SEÑALAMIENTOS OJ-Fiscales-EXPRES-104;AG SEÑALAMIENTOS OJFiscalesEXPRES104;104;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51141 ;CITRIX-CS Órganos Judiciales-EXPRES-101;CITRIXCSOOJJEXPRES101;101;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51142 ;GESTOR DE USUARIOS-CGF Órganos Judiciales-EXPRES-118;GESTOR DE USUARIOSCGFOOJJEXPRES118;118;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51143 ;OFFICE365-CGF Órganos Judiciales-EXPRES-252;OFFICE365CGFOOJJEXPRES252;252;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51144 ;EVID-CS Órganos Judiciales-EXPRES-153;EVIDCSOOJJEXPRES153;153;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51145 ;EVID-CS Órganos Judiciales-EXPRES-154;EVIDCSOOJJEXPRES154;154;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51146 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-158;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES158;158;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51147 ;AG SEÑALAMIENTOS OJ-Fiscales-EXPRES-105;AG SEÑALAMIENTOS OJFiscalesEXPRES105;105;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51148 ;ORFILA-Personal colaborador IML-ML-103;ORFILAColabIMLML103;103;102
https://aulaenlinea.justicia.es:443/course/view.php?id=51149 ;PAQUETES DE INCORPORACION-CGF Audiencia Nacional (EJE)-M-215;PAQUETES DE INCORPORACIONCGFAN (EJE)M215;215;215
https://aulaenlinea.justicia.es:443/course/view.php?id=51150 ;MINERVA-HORUS-Jueces y/o Magistrados-IB-MANACOR-100;MINERVA-HORUSJMIBMANACOR100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51151 ;AG SEÑALAMIENTOS OJ-Jueces y/o Magistrados-IB-MANACOR-100;AG SEÑALAMIENTOS OJJMIBMANACOR100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51152 ;AG SEÑALAMIENTOS OJ-CGF Órganos Judiciales-IB-MANACOR-101;AG SEÑALAMIENTOS OJCGFOOJJIBMANACOR101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=51153 ;PAQUETES DE INCORPORACION-Jueces y/o Magistrados-MU-LORCA-103;PAQUETES DE INCORPORACIONJMMULORCA103;103;103
