URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=51219 ;GESTOR DE USUARIOS-CGF Órganos Judiciales-EXPRES-119;GESTOR DE USUARIOSCGFOOJJEXPRES119;119;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51220 ;EVID-CS Órganos Judiciales-EXPRES-155;EVIDCSOOJJEXPRES155;155;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51221 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-159;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES159;159;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51222 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-160;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES160;160;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51223 ;EVID-CS Órganos Judiciales-EXPRES-156;EVIDCSOOJJEXPRES156;156;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51224 ;CALCULADORA 988-CS Órganos Judiciales-EXPRES-125;CALCULADORA 988CSOOJJEXPRES125;125;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51225 ;CITRIX-CS Órganos Judiciales-EXPRES-102;CITRIXCSOOJJEXPRES102;102;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51226 ;GESTOR DE USUARIOS-CGF Órganos Judiciales-EXPRES-120;GESTOR DE USUARIOSCGFOOJJEXPRES120;120;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51227 ;TEJU-CS Órganos Judiciales-EXPRES-217;TEJUCSOOJJEXPRES217;217;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51228 ;AG SEÑALAMIENTOS OJ-Fiscales-EXPRES-106;AG SEÑALAMIENTOS OJFiscalesEXPRES106;106;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51229 ;EVID-CS Órganos Judiciales-EXPRES-157;EVIDCSOOJJEXPRES157;157;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51230 ;EVID-CS Órganos Judiciales-EXPRES-158;EVIDCSOOJJEXPRES158;158;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51231 ;VISOR-CS Órganos Judiciales-EXPRES-296;VISORCSOOJJEXPRES296;296;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51232 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-142;MICROEMPRESASCSOOJJEXPRES142;142;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51233 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-161;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES161;161;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51234 ;AG SEÑALAMIENTOS OJ-Fiscales-EXPRES-107;AG SEÑALAMIENTOS OJFiscalesEXPRES107;107;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51235 ;VISOR-CS Órganos Judiciales-EXPRES-297;VISORCSOOJJEXPRES297;297;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51236 ;EVID-CS Órganos Judiciales-EXPRES-159;EVIDCSOOJJEXPRES159;159;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51237 ;SORTEO JURADOS-CS Órganos Judiciales-EXPRES-102;SORTEO JURADOSCSOOJJEXPRES102;102;100
