URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=51399 ;AG SEÑALAMIENTOS OJ-Fiscales-EXPRES-110;AG SEÑALAMIENTOS OJFiscalesEXPRES110;110;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51400 ;CITRIX-CS Órganos Judiciales-EXPRES-104;CITRIXCSOOJJEXPRES104;104;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51401 ;VISOR-CS Órganos Judiciales-EXPRES-302;VISORCSOOJJEXPRES302;302;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51402 ;OFFICE365-CGF Órganos Judiciales-EXPRES-253;OFFICE365CGFOOJJEXPRES253;253;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51403 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-143;MICROEMPRESASCSOOJJEXPRES143;143;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51404 ;VISOR-CS Órganos Judiciales-EXPRES-303;VISORCSOOJJEXPRES303;303;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51405 ;AG SEÑALAMIENTOS OJ-Fiscales-EXPRES-111;AG SEÑALAMIENTOS OJFiscalesEXPRES111;111;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51406 ;CALCULADORA 988-CS Órganos Judiciales-EXPRES-127;CALCULADORA 988CSOOJJEXPRES127;127;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51407 ;EVID-CS Órganos Judiciales-EXPRES-165;EVIDCSOOJJEXPRES165;165;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51408 ;VISOR-CS Órganos Judiciales-EXPRES-304;VISORCSOOJJEXPRES304;304;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51409 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-100;VICTIMAS VULNERABLESFiscalesEXPRES100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51410 ;SORTEO JURADOS-CS Órganos Judiciales-EXPRES-105;SORTEO JURADOSCSOOJJEXPRES105;105;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51411 ;OFFICE365-CGF Órganos Judiciales-EXPRES-254;OFFICE365CGFOOJJEXPRES254;254;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51412 ;AG SEÑALAMIENTOS OJ-Fiscales-EXPRES-112;AG SEÑALAMIENTOS OJFiscalesEXPRES112;112;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51413 ;VISOR-CS Órganos Judiciales-EXPRES-305;VISORCSOOJJEXPRES305;305;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51414 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-144;MICROEMPRESASCSOOJJEXPRES144;144;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51415 ;VISOR-CS Órganos Judiciales-EXPRES-306;VISORCSOOJJEXPRES306;306;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51416 ;EVID-CS Órganos Judiciales-EXPRES-166;EVIDCSOOJJEXPRES166;166;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51417 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-101;VICTIMAS VULNERABLESFiscalesEXPRES101;101;100
