URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=51479 ;PAQUETES DE INCORPORACION-CGF SCG Auxilios Judiciales-CU-110;PAQUETES DE INCORPORACIONCGF SCGOtrosCU110;110;110
https://aulaenlinea.justicia.es:443/course/view.php?id=51480 ;PAQUETES DE INCORPORACION-CGF Secretaría Gobierno-CR-CIUDAD REAL-100;PAQUETES DE INCORPORACIONCGFSGCRCIUDAD REAL100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51481 ;EVID-CS Órganos Judiciales-EXPRES-167;EVIDCSOOJJEXPRES167;167;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51482 ;VISOR-CS Órganos Judiciales-EXPRES-307;VISORCSOOJJEXPRES307;307;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51483 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-145;MICROEMPRESASCSOOJJEXPRES145;145;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51484 ;VISOR-CS Órganos Judiciales-EXPRES-308;VISORCSOOJJEXPRES308;308;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51485 ;SORTEO JURADOS-CS Órganos Judiciales-EXPRES-106;SORTEO JURADOSCSOOJJEXPRES106;106;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51486 ;CITRIX-CS Órganos Judiciales-EXPRES-105;CITRIXCSOOJJEXPRES105;105;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51487 ;CIBERSEGURIDAD-CGF Órganos Judiciales-EXPRES-201;CIBERSEGURIDADCGFOOJJEXPRES201;201;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51488 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-102;VICTIMAS VULNERABLESFiscalesEXPRES102;102;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51489 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-146;MICROEMPRESASCSOOJJEXPRES146;146;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51490 ;VISOR-CS Órganos Judiciales-EXPRES-309;VISORCSOOJJEXPRES309;309;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51491 ;OFFICE365-CGF Órganos Judiciales-EXPRES-255;OFFICE365CGFOOJJEXPRES255;255;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51492 ;VISOR-CS Órganos Judiciales-EXPRES-310;VISORCSOOJJEXPRES310;310;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51493 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-103;VICTIMAS VULNERABLESFiscalesEXPRES103;103;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51494 ;AG SEÑALAMIENTOS OJ-Fiscales-EXPRES-113;AG SEÑALAMIENTOS OJFiscalesEXPRES113;113;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51495 ;OFFICE365-CGF Órganos Judiciales-EXPRES-256;OFFICE365CGFOOJJEXPRES256;256;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51496 ;EVID-CS Órganos Judiciales-EXPRES-168;EVIDCSOOJJEXPRES168;168;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51497 ;EVID-CS Órganos Judiciales-EXPRES-169;EVIDCSOOJJEXPRES169;169;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51498 ;VISOR-CS Órganos Judiciales-EXPRES-311;VISORCSOOJJEXPRES311;311;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51499 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-104;VICTIMAS VULNERABLESFiscalesEXPRES104;104;100
