URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=51552 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-106;VICTIMAS VULNERABLESFiscalesEXPRES106;106;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51553 ;VISOR-CS Órganos Judiciales-EXPRES-313;VISORCSOOJJEXPRES313;313;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51554 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-148;MICROEMPRESASCSOOJJEXPRES148;148;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51555 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-107;VICTIMAS VULNERABLESFiscalesEXPRES107;107;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51556 ;SORTEO JURADOS-CS Órganos Judiciales-EXPRES-107;SORTEO JURADOSCSOOJJEXPRES107;107;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51557 ;CITRIX-CS Órganos Judiciales-EXPRES-106;CITRIXCSOOJJEXPRES106;106;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51558 ;AG SEÑALAMIENTOS OJ-Fiscales-EXPRES-114;AG SEÑALAMIENTOS OJFiscalesEXPRES114;114;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51579 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-149;MICROEMPRESASCSOOJJEXPRES149;149;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51580 ;OFFICE365-CGF Órganos Judiciales-EXPRES-257;OFFICE365CGFOOJJEXPRES257;257;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51581 ;VISOR-CS Órganos Judiciales-EXPRES-314;VISORCSOOJJEXPRES314;314;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51582 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-108;VICTIMAS VULNERABLESFiscalesEXPRES108;108;100
