URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=51622 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-109;VICTIMAS VULNERABLESFiscalesEXPRES109;109;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51623 ;VISOR-CS Órganos Judiciales-EXPRES-315;VISORCSOOJJEXPRES315;315;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51624 ;OFFICE365-CGF Órganos Judiciales-EXPRES-258;OFFICE365CGFOOJJEXPRES258;258;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51625 ;SORTEO JURADOS-CS Órganos Judiciales-EXPRES-108;SORTEO JURADOSCSOOJJEXPRES108;108;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51626 ;AG SEÑALAMIENTOS OJ-Fiscales-EXPRES-115;AG SEÑALAMIENTOS OJFiscalesEXPRES115;115;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51627 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-150;MICROEMPRESASCSOOJJEXPRES150;150;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51628 ;VISOR-CS Órganos Judiciales-EXPRES-316;VISORCSOOJJEXPRES316;316;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51629 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-110;VICTIMAS VULNERABLESFiscalesEXPRES110;110;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51630 ;CIBERSEGURIDAD-CGF Órganos Judiciales-EXPRES-202;CIBERSEGURIDADCGFOOJJEXPRES202;202;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51631 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-111;VICTIMAS VULNERABLESFiscalesEXPRES111;111;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51632 ;VISOR-CS Órganos Judiciales-EXPRES-317;VISORCSOOJJEXPRES317;317;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51633 ;CALCULADORA 988-CS Órganos Judiciales-EXPRES-128;CALCULADORA 988CSOOJJEXPRES128;128;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51634 ;OFFICE365-CGF Órganos Judiciales-EXPRES-259;OFFICE365CGFOOJJEXPRES259;259;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51635 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-151;MICROEMPRESASCSOOJJEXPRES151;151;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51636 ;AG SEÑALAMIENTOS OJ-Fiscales-EXPRES-116;AG SEÑALAMIENTOS OJFiscalesEXPRES116;116;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51637 ;VISOR-CS Órganos Judiciales-EXPRES-318;VISORCSOOJJEXPRES318;318;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51638 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-112;VICTIMAS VULNERABLESFiscalesEXPRES112;112;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51639 ;VISOR-CS Órganos Judiciales-EXPRES-319;VISORCSOOJJEXPRES319;319;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51640 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-152;MICROEMPRESASCSOOJJEXPRES152;152;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51641 ;VISOR-CS Órganos Judiciales-EXPRES-320;VISORCSOOJJEXPRES320;320;100
