URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=51739 ;OFFICE365-CGF Órganos Judiciales-EXPRES-262;OFFICE365CGFOOJJEXPRES262;262;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51740 ;EVID-CS Órganos Judiciales-EXPRES-170;EVIDCSOOJJEXPRES170;170;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51741 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-115;VICTIMAS VULNERABLESFiscalesEXPRES115;115;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51742 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-116;VICTIMAS VULNERABLESFiscalesEXPRES116;116;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51743 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-163;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES163;163;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51744 ;EVID-CS Órganos Judiciales-EXPRES-171;EVIDCSOOJJEXPRES171;171;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51745 ;VISOR-CS Órganos Judiciales-EXPRES-324;VISORCSOOJJEXPRES324;324;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51746 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-117;VICTIMAS VULNERABLESFiscalesEXPRES117;117;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51747 ;EVID-CS Órganos Judiciales-EXPRES-172;EVIDCSOOJJEXPRES172;172;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51748 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-157;MICROEMPRESASCSOOJJEXPRES157;157;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51749 ;SORTEO JURADOS-CS Órganos Judiciales-EXPRES-109;SORTEO JURADOSCSOOJJEXPRES109;109;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51750 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-118;VICTIMAS VULNERABLESFiscalesEXPRES118;118;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51751 ;OFFICE365-CGF Órganos Judiciales-EXPRES-263;OFFICE365CGFOOJJEXPRES263;263;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51752 ;EVID-CS Órganos Judiciales-EXPRES-173;EVIDCSOOJJEXPRES173;173;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51753 ;EVID-CS Órganos Judiciales-EXPRES-174;EVIDCSOOJJEXPRES174;174;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51754 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-158;MICROEMPRESASCSOOJJEXPRES158;158;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51755 ;CITRIX-CS Órganos Judiciales-EXPRES-108;CITRIXCSOOJJEXPRES108;108;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51756 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-119;VICTIMAS VULNERABLESFiscalesEXPRES119;119;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51757 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-164;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES164;164;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51758 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-165;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES165;165;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51759 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-120;VICTIMAS VULNERABLESFiscalesEXPRES120;120;100
https://aulaenlinea.justicia.es:443/course/view.php?id=51760 ;EVID-CS Órganos Judiciales-EXPRES-175;EVIDCSOOJJEXPRES175;175;100
