URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=52002 ;SIRAJ2-CGF Órganos Colegiados-IB-PALMA-103;SIRAJ2CGFOCIBPALMA103;103;103
https://aulaenlinea.justicia.es:443/course/view.php?id=52003 ;PAQUETES DE INCORPORACION-CGF Órganos Judiciales-VA-277;PAQUETES DE INCORPORACIONCGFOOJJVA277;277;277
https://aulaenlinea.justicia.es:443/course/view.php?id=52004 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales de Menores-WEBINAR-100;EXPEDIENTES DE PROTECCIÓN DE MENORESCSFMWEBINAR100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52005 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales de Menores-WEBINAR-101;EXPEDIENTES DE PROTECCIÓN DE MENORESCSFMWEBINAR101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=52006 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales de Menores-WEBINAR-102;EXPEDIENTES DE PROTECCIÓN DE MENORESCSFMWEBINAR102;102;102
https://aulaenlinea.justicia.es:443/course/view.php?id=52007 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales de Menores-WEBINAR-103;EXPEDIENTES DE PROTECCIÓN DE MENORESCSFMWEBINAR103;103;103
https://aulaenlinea.justicia.es:443/course/view.php?id=52008 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-CGF Fiscalías de Menores-WEBINAR-100;EXPEDIENTES DE PROTECCIÓN DE MENORESCGFFmenoresWEBINAR100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52009 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-CGF Fiscalías de Menores-WEBINAR-101;EXPEDIENTES DE PROTECCIÓN DE MENORESCGFFmenoresWEBINAR101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=52010 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-CGF Fiscalías de Menores-WEBINAR-102;EXPEDIENTES DE PROTECCIÓN DE MENORESCGFFmenoresWEBINAR102;102;102
https://aulaenlinea.justicia.es:443/course/view.php?id=52011 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-CGF Fiscalías de Menores-WEBINAR-103;EXPEDIENTES DE PROTECCIÓN DE MENORESCGFFmenoresWEBINAR103;103;103
https://aulaenlinea.justicia.es:443/course/view.php?id=52012 ;PAQUETES DE INCORPORACION-Fiscales de Menores-BA-100;PAQUETES DE INCORPORACIONCSFMBA100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52013 ;PAQUETES DE INCORPORACION-CGF de Violencia sobre la Mujer-IB-PALMA-113;PAQUETES DE INCORPORACIONCGFVSMIBPALMA113;113;113
