URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=52119 ;PAQUETES DE INCORPORACION-CGF Órganos Judiciales-MU-CARTAGENA-206;PAQUETES DE INCORPORACIONCGFOOJJMUCARTAGENA206;206;206
https://aulaenlinea.justicia.es:443/course/view.php?id=52120 ;PAQUETES DE INCORPORACION-CGF Órganos Judiciales-CC-115;PAQUETES DE INCORPORACIONCGFOOJJCC115;115;115
https://aulaenlinea.justicia.es:443/course/view.php?id=52121 ;PAQUETES DE INCORPORACION-CGF Órganos Judiciales-CC-PLASENCIA-129;PAQUETES DE INCORPORACIONCGFOOJJCCPLASENCIA129;129;129
https://aulaenlinea.justicia.es:443/course/view.php?id=52122 ;HERRAMIENTAS TIC-CS UPAD-BA-WEBINAR-100;HERRAMIENTAS TICCS JUPADBAWEBINAR100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52123 ;HERRAMIENTAS TIC-CS UPAD-BA-WEBINAR-101;HERRAMIENTAS TICCS JUPADBAWEBINAR101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=52124 ;HERRAMIENTAS TIC-CS UPAD-BA-WEBINAR-102;HERRAMIENTAS TICCS JUPADBAWEBINAR102;102;102
https://aulaenlinea.justicia.es:443/course/view.php?id=52125 ;HERRAMIENTAS TIC-CS UPAD-BA-WEBINAR-103;HERRAMIENTAS TICCS JUPADBAWEBINAR103;103;103
https://aulaenlinea.justicia.es:443/course/view.php?id=52126 ;HERRAMIENTAS TIC-CGF Oficina de Registro y Reparto-BA-WEBINAR-100;HERRAMIENTAS TICCGFORRBAWEBINAR100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52127 ;HERRAMIENTAS TIC-CGF SCACE-BA-WEBINAR-100;HERRAMIENTAS TICCGFSCACEBAWEBINAR100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52128 ;HERRAMIENTAS TIC-CGF SCACE-BA-WEBINAR-101;HERRAMIENTAS TICCGFSCACEBAWEBINAR101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=52129 ;HERRAMIENTAS TIC-CGF Oficina de Registro y Reparto-BA-WEBINAR-101;HERRAMIENTAS TICCGFORRBAWEBINAR101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=52130 ;HERRAMIENTAS TIC-CGF SCG AJ Equipo 3-BA-WEBINAR-100;HERRAMIENTAS TICCGF SCG AJ Equipo 3BAWEBINAR100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52131 ;HERRAMIENTAS TIC-CGF SCG AJ Equipo 3-BA-WEBINAR-101;HERRAMIENTAS TICCGF SCG AJ Equipo 3BAWEBINAR101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=52132 ;HERRAMIENTAS TIC-CGF UPAD-BA-WEBINAR-100;HERRAMIENTAS TICCGF UPADBAWEBINAR100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52133 ;HERRAMIENTAS TIC-CGF SCG AJ Equipo 3-BA-WEBINAR-102;HERRAMIENTAS TICCGF SCG AJ Equipo 3BAWEBINAR102;102;102
https://aulaenlinea.justicia.es:443/course/view.php?id=52134 ;HERRAMIENTAS TIC-CGF SCG AJ Equipo 3-BA-WEBINAR-103;HERRAMIENTAS TICCGF SCG AJ Equipo 3BAWEBINAR103;103;103
https://aulaenlinea.justicia.es:443/course/view.php?id=52135 ;ACCEDA JUSTICIA-CS Fiscales-M-100;ACCEDA JUSTICIACSFM100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52136 ;ACCEDA JUSTICIA-CGF Fiscalías-M-104;ACCEDA JUSTICIACGFFiscaliasM104;104;104
https://aulaenlinea.justicia.es:443/course/view.php?id=52137 ;PAQUETES DE INCORPORACION-CGF de Violencia sobre la Mujer-MU-TOTANA-105;PAQUETES DE INCORPORACIONCGFOOJJ VSMMUTOTANA105;105;107
https://aulaenlinea.justicia.es:443/course/view.php?id=52138 ;REAJ-CGF Órganos Judiciales-BU-SALAS DE LOS INFANTES-100;REAJCGFOOJJBUSALAS DE LOS INFANTES100;100;100
