URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=52159 ;JUSTICIA DIGITAL-CGF Audiencia Nacional (EJE)-M-100;JUSTICIA DIGITALCGFAN (EJE)M100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52160 ;JUSTICIA DIGITAL-CS Audiencia Nacional (EJE)-M-100;JUSTICIA DIGITALCSAN(EJE)M100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52161 ;JUSTICIA DIGITAL-CGF Audiencia Nacional (EJE)-M-101;JUSTICIA DIGITALCGFAN (EJE)M101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=52162 ;JUSTICIA DIGITAL-CGF Audiencia Nacional (EJE)-M-102;JUSTICIA DIGITALCGFAN (EJE)M102;102;102
https://aulaenlinea.justicia.es:443/course/view.php?id=52163 ;MINERVA / OJ-CGF Órganos Judiciales-MU-TOTANA-100;MINERVA / OJCGFOOJJMUTOTANA100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52164 ;PAQUETES DE INCORPORACION-CGF Fiscalías-M-138;PAQUETES DE INCORPORACIONCGFFiscaliasM138;138;138
https://aulaenlinea.justicia.es:443/course/view.php?id=52165 ;PAQUETES DE INCORPORACION-CGF Fiscalías-M-139;PAQUETES DE INCORPORACIONCGFFiscaliasM139;139;139
https://aulaenlinea.justicia.es:443/course/view.php?id=52166 ;ACCEDA JUSTICIA-CGF Oficina de Registro y Reparto-CE-100;ACCEDA JUSTICIACGFORRCE100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52167 ;PAQUETES DE INCORPORACION-CGF Oficina de Registro y Reparto-CE-100;PAQUETES DE INCORPORACIONCGFORRCE100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52168 ;ATENEA-CGF SCRRDA-M-101;ATENEACGFSCRRDAM101;101;101
