URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=52184 ;PAQUETES DE INCORPORACION-Fiscales-BA-105;PAQUETES DE INCORPORACIONFiscalesBA105;105;105
https://aulaenlinea.justicia.es:443/course/view.php?id=52185 ;EVID-CGF Órganos Judiciales-SA-115;EVIDCGFOOJJSA115;115;115
https://aulaenlinea.justicia.es:443/course/view.php?id=52186 ;PAQUETES DE INCORPORACION-CGF Órganos Judiciales-IB-EIVISSA-159;PAQUETES DE INCORPORACIONCGFOOJJIBEIVISSA159;159;159
https://aulaenlinea.justicia.es:443/course/view.php?id=52187 ;JUSTICIA DIGITAL-CGF SCRRDA (EJE)-M-100;JUSTICIA DIGITALCGFSCRRDA (EJE)M100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52188 ;PAQUETES DE INCORPORACION-CS Órganos Judiciales-IB-PALMA-113;PAQUETES DE INCORPORACIONCSOOJJIBPALMA113;113;113
https://aulaenlinea.justicia.es:443/course/view.php?id=52189 ;VIDEOCONFERENCIA-CS UPAD-LE-100;VIDEOCONFERENCIACS JUPADLE100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52190 ;ATENEA-CS Órganos Judiciales-IB-MAO-100;ATENEACSOOJJIBMAO100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52191 ;PAQUETES DE INCORPORACION-CGF Órganos Judiciales-IB-PALMA-249;PAQUETES DE INCORPORACIONCGFOOJJIBPALMA249;249;249
https://aulaenlinea.justicia.es:443/course/view.php?id=52192 ;JUSTICIA DIGITAL-CS SCRRDA-M-103;JUSTICIA DIGITALCS SCRRDAM103;103;103
https://aulaenlinea.justicia.es:443/course/view.php?id=52193 ;JUSTICIA DIGITAL-CS SCRRDA (EJE)-M-100;JUSTICIA DIGITALCSSCRRDAANM100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52194 ;JUSTICIA DIGITAL-Jueces y/o Magistrados Audiencia Nacional-M-113;JUSTICIA DIGITALJMANM113;113;113
https://aulaenlinea.justicia.es:443/course/view.php?id=52195 ;PAQUETES DE INCORPORACION-CGF Órganos Judiciales-VA-278;PAQUETES DE INCORPORACIONCGFOOJJVA278;278;278
https://aulaenlinea.justicia.es:443/course/view.php?id=52196 ;SISTEMAS DE GESTIÓN GUBERNATIVA-Secretario Coordinador Provincial-P-100;SISTEMAS DE GESTIÓN GUBERNATIVASSCoorP100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52197 ;SISTEMAS DE GESTIÓN GUBERNATIVA-CGF Oficina de Registro y Reparto-P-100;SISTEMAS DE GESTIÓN GUBERNATIVACGFORRP100;100;100
