URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=52267 ;CITA PREVIA-CGF Oficina de Registro y Reparto-LE-101;CITA PREVIACGFORRLE101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=52268 ;HERRAMIENTAS TIC-CGF UPAD-BA-WEBINAR-111;HERRAMIENTAS TICCGF UPADBAWEBINAR111;111;111
https://aulaenlinea.justicia.es:443/course/view.php?id=52269 ;HERRAMIENTAS TIC-CGF UPAD-BA-WEBINAR-112;HERRAMIENTAS TICCGF UPADBAWEBINAR112;112;112
https://aulaenlinea.justicia.es:443/course/view.php?id=52270 ;HERRAMIENTAS TIC-CGF SCG Auxilios Judiciales-BA-WEBINAR-101;HERRAMIENTAS TICCGF SCGOtrosBAWEBINAR101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=52271 ;HERRAMIENTAS TIC-CGF SCEJ-BA-WEBINAR-100;HERRAMIENTAS TICCGFSCEJBAWEBINAR100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52272 ;HERRAMIENTAS TIC-CGF SCEJ-BA-WEBINAR-101;HERRAMIENTAS TICCGFSCEJBAWEBINAR101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=52273 ;HERRAMIENTAS TIC-CGF SCEJ-BA-WEBINAR-102;HERRAMIENTAS TICCGFSCEJBAWEBINAR102;102;102
https://aulaenlinea.justicia.es:443/course/view.php?id=52274 ;HERRAMIENTAS TIC-CGF SCEJ-BA-WEBINAR-103;HERRAMIENTAS TICCGFSCEJBAWEBINAR103;103;103
https://aulaenlinea.justicia.es:443/course/view.php?id=52275 ;MINERVA / OJ-CGF Órganos Judiciales-BA-WEBINAR-100;MINERVA / OJCGFOOJJBAWEBINAR100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52276 ;MINERVA / OJ-CGF Órganos Judiciales-BA-WEBINAR-101;MINERVA / OJCGFOOJJBAWEBINAR101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=52277 ;MINERVA / OJ-CGF Órganos Judiciales-BA-WEBINAR-102;MINERVA / OJCGFOOJJBAWEBINAR102;102;102
https://aulaenlinea.justicia.es:443/course/view.php?id=52278 ;MINERVA / OJ-CGF Órganos Judiciales-BA-WEBINAR-103;MINERVA / OJCGFOOJJBAWEBINAR103;103;103
https://aulaenlinea.justicia.es:443/course/view.php?id=52279 ;MINERVA / OJ-CGF Órganos Judiciales-BA-WEBINAR-104;MINERVA / OJCGFOOJJBAWEBINAR104;104;104
https://aulaenlinea.justicia.es:443/course/view.php?id=52280 ;MINERVA / OJ-CGF Órganos Judiciales-BA-WEBINAR-105;MINERVA / OJCGFOOJJBAWEBINAR105;105;105
