URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=52291 ;CALCULADORA 988-CS Órganos Judiciales-EXPRES-134;CALCULADORA 988CSOOJJEXPRES134;134;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52292 ;EVID-CS Órganos Judiciales-EXPRES-194;EVIDCSOOJJEXPRES194;194;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52293 ;MINERVA / OJ-CS Órganos Judiciales-EXPRES-443;MINERVA / OJCSOOJJEXPRES443;443;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52294 ;EVID-CS Órganos Judiciales-EXPRES-195;EVIDCSOOJJEXPRES195;195;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52295 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-138;VICTIMAS VULNERABLESFiscalesEXPRES138;138;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52296 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-176;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES176;176;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52297 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-165;MICROEMPRESASCSOOJJEXPRES165;165;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52298 ;ESCRITORIO VIRTUAL-CS Órganos Judiciales-EXPRES-123;ESCRITORIO VIRTUALCSOOJJEXPRES123;123;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52299 ;CALCULADORA 988-CS Órganos Judiciales-EXPRES-135;CALCULADORA 988CSOOJJEXPRES135;135;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52300 ;OFFICE365-CGF Órganos Judiciales-EXPRES-268;OFFICE365CGFOOJJEXPRES268;268;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52301 ;EVID-CS Órganos Judiciales-EXPRES-196;EVIDCSOOJJEXPRES196;196;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52302 ;MINERVA / OJ-CS Órganos Judiciales-EXPRES-444;MINERVA / OJCSOOJJEXPRES444;444;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52303 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-166;MICROEMPRESASCSOOJJEXPRES166;166;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52304 ;CITRIX-CS Órganos Judiciales-EXPRES-110;CITRIXCSOOJJEXPRES110;110;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52305 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-139;VICTIMAS VULNERABLESFiscalesEXPRES139;139;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52306 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-177;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES177;177;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52307 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-178;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES178;178;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52308 ;CALCULADORA 988-CS Órganos Judiciales-EXPRES-136;CALCULADORA 988CSOOJJEXPRES136;136;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52309 ;PORTAFIRMAS-CS Órganos Judiciales-EXPRES-280;PORTAFIRMASCSOOJJEXPRES280;280;100
