URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=52665 ;PAQUETES DE INCORPORACION-CGF UPAD-BU-119;PAQUETES DE INCORPORACIONCGF UPADBU119;119;119
https://aulaenlinea.justicia.es:443/course/view.php?id=52666 ;DICIREG-CGF Registro Civil Central-M-108;DICIREGCGFRCCM108;108;108
https://aulaenlinea.justicia.es:443/course/view.php?id=52667 ;CALCULADORA 988-CS Órganos Judiciales-EXPRES-148;CALCULADORA 988CSOOJJEXPRES148;148;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52668 ;PORTAFIRMAS-CS Órganos Judiciales-EXPRES-285;PORTAFIRMASCSOOJJEXPRES285;285;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52669 ;EFIDELIUS-CGF Órganos Judiciales-EXPRES-100;EFIDELIUSCGFOOJJEXPRES100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52670 ;MINERVA / OJ-CGF Órganos Judiciales-EXPRES-409;MINERVA / OJCGFOOJJEXPRES409;409;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52671 ;CITRIX-CS Órganos Judiciales-EXPRES-111;CITRIXCSOOJJEXPRES111;111;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52672 ;SIRAJ2-CS Órganos Judiciales-EXPRES-340;SIRAJ2CSOOJJEXPRES340;340;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52673 ;ACCEDA JUSTICIA-CS Órganos Judiciales-EXPRES-227;ACCEDA JUSTICIACSOOJJEXPRES227;227;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52674 ;EVID-CS Órganos Judiciales-EXPRES-208;EVIDCSOOJJEXPRES208;208;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52675 ;AG SEÑALAMIENTOS OJ-Fiscales-EXPRES-120;AG SEÑALAMIENTOS OJFiscalesEXPRES120;120;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52676 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-189;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES189;189;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52677 ;GESTOR DE USUARIOS-CS Órganos Judiciales-EXPRES-189;GESTOR DE USUARIOSCSOOJJEXPRES189;189;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52678 ;ACCEDA JUSTICIA-CS Órganos Judiciales-EXPRES-228;ACCEDA JUSTICIACSOOJJEXPRES228;228;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52679 ;EVID-CS Órganos Judiciales-EXPRES-209;EVIDCSOOJJEXPRES209;209;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52680 ;SIRAJ2-CS Órganos Judiciales-EXPRES-341;SIRAJ2CSOOJJEXPRES341;341;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52681 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-190;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES190;190;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52682 ;PORTAFIRMAS-CS Órganos Judiciales-EXPRES-286;PORTAFIRMASCSOOJJEXPRES286;286;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52683 ;MINERVA / OJ-CS Órganos Judiciales-EXPRES-447;MINERVA / OJCSOOJJEXPRES447;447;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52684 ;PORTAFIRMAS-CS Órganos Judiciales-EXPRES-287;PORTAFIRMASCSOOJJEXPRES287;287;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52685 ;CALCULADORA 988-CS Órganos Judiciales-EXPRES-149;CALCULADORA 988CSOOJJEXPRES149;149;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52686 ;JUSTICIA DIGITAL-Jueces y/o Magistrados Audiencia Nacional-M-114;JUSTICIA DIGITALJMANM114;114;114
https://aulaenlinea.justicia.es:443/course/view.php?id=52687 ;JUSTICIA DIGITAL-Jueces y/o Magistrados Audiencia Nacional-M-115;JUSTICIA DIGITALJMANM115;115;115
