URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=52879 ;FORTUNY-Fiscales-EXPRES-195;FORTUNYFiscalesEXPRES195;195;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52880 ;PORTAFIRMAS-CS Órganos Judiciales-EXPRES-291;PORTAFIRMASCSOOJJEXPRES291;291;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52881 ;EVID-CS Órganos Judiciales-EXPRES-212;EVIDCSOOJJEXPRES212;212;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52882 ;ACCEDA JUSTICIA-CS Órganos Judiciales-EXPRES-231;ACCEDA JUSTICIACSOOJJEXPRES231;231;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52883 ;CALCULADORA 988-CS Órganos Judiciales-EXPRES-152;CALCULADORA 988CSOOJJEXPRES152;152;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52884 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-142;VICTIMAS VULNERABLESFiscalesEXPRES142;142;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52885 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-193;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES193;193;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52886 ;MINERVA / OJ-CS Órganos Judiciales-EXPRES-450;MINERVA / OJCSOOJJEXPRES450;450;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52887 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-194;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES194;194;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52888 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-166;MICROEMPRESASCSOOJJEXPRES166;166;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52889 ;SORTEO JURADOS-CS Órganos Judiciales-EXPRES-116;SORTEO JURADOSCSOOJJEXPRES116;116;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52890 ;EVID-CS Órganos Judiciales-EXPRES-213;EVIDCSOOJJEXPRES213;213;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52891 ;CIBERSEGURIDAD-CGF Órganos Judiciales-EXPRES-207;CIBERSEGURIDADCGFOOJJEXPRES207;207;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52892 ;PORTAFIRMAS-CS Órganos Judiciales-EXPRES-292;PORTAFIRMASCSOOJJEXPRES292;292;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52893 ;ACCEDA JUSTICIA-CS Órganos Judiciales-EXPRES-232;ACCEDA JUSTICIACSOOJJEXPRES232;232;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52894 ;CLAVE JUSTICIA-CS Órganos Judiciales-EXPRES-103;CLAVE JUSTICIACSOOJJEXPRES103;103;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52895 ;EVID-CS Órganos Judiciales-EXPRES-214;EVIDCSOOJJEXPRES214;214;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52896 ;PORTAFIRMAS-CS Órganos Judiciales-EXPRES-293;PORTAFIRMASCSOOJJEXPRES293;293;100
https://aulaenlinea.justicia.es:443/course/view.php?id=52897 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-195;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES195;195;100
