URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=53130 ;ACCEDA JUSTICIA-CS Órganos Judiciales-EXPRES-234;ACCEDA JUSTICIACSOOJJEXPRES234;234;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53131 ;PORTAFIRMAS-CS Órganos Judiciales-EXPRES-298;PORTAFIRMASCSOOJJEXPRES298;298;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53132 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-202;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES202;202;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53133 ;CALCULADORA 988-CS Órganos Judiciales-EXPRES-164;CALCULADORA 988CSOOJJEXPRES164;164;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53134 ;EVID-CS Órganos Judiciales-EXPRES-221;EVIDCSOOJJEXPRES221;221;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53135 ;MINERVA / OJ-CS Órganos Judiciales-EXPRES-456;MINERVA / OJCSOOJJEXPRES456;456;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53136 ;SORTEO JURADOS-CS Órganos Judiciales-EXPRES-118;SORTEO JURADOSCSOOJJEXPRES118;118;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53137 ;CALCULADORA 988-CS Órganos Judiciales-EXPRES-165;CALCULADORA 988CSOOJJEXPRES165;165;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53138 ;EVID-CS Órganos Judiciales-EXPRES-222;EVIDCSOOJJEXPRES222;222;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53139 ;MINERVA / OJ-CS Órganos Judiciales-EXPRES-457;MINERVA / OJCSOOJJEXPRES457;457;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53140 ;AG SEÑALAMIENTOS OJ-Fiscales-EXPRES-122;AG SEÑALAMIENTOS OJFiscalesEXPRES122;122;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53141 ;CALCULADORA 988-CS Órganos Judiciales-EXPRES-166;CALCULADORA 988CSOOJJEXPRES166;166;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53142 ;MINERVA / OJ-CS Órganos Judiciales-EXPRES-458;MINERVA / OJCSOOJJEXPRES458;458;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53143 ;SIRAJ2-CGF Órganos Judiciales-EXPRES-100;SIRAJ2CGFOOJJEXPRES100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53144 ;CALCULADORA 988-CS Órganos Judiciales-EXPRES-167;CALCULADORA 988CSOOJJEXPRES167;167;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53145 ;OFFICE365-CS Órganos Judiciales-EXPRES-101;OFFICE365CSOOJJEXPRES101;101;100
