URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=53205 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-170;MICROEMPRESASCSOOJJEXPRES170;170;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53206 ;EVID-CS Órganos Judiciales-EXPRES-223;EVIDCSOOJJEXPRES223;223;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53207 ;MINERVA / OJ-CS Órganos Judiciales-EXPRES-459;MINERVA / OJCSOOJJEXPRES459;459;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53208 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-203;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES203;203;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53209 ;CITRIX-CS Órganos Judiciales-EXPRES-113;CITRIXCSOOJJEXPRES113;113;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53210 ;ACCEDA JUSTICIA-CS Órganos Judiciales-EXPRES-235;ACCEDA JUSTICIACSOOJJEXPRES235;235;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53211 ;ESCRITORIO VIRTUAL-CS Órganos Judiciales-EXPRES-130;ESCRITORIO VIRTUALCSOOJJEXPRES130;130;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53212 ;EVID-CS Órganos Judiciales-EXPRES-224;EVIDCSOOJJEXPRES224;224;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53213 ;MINERVA / OJ-CS Órganos Judiciales-EXPRES-460;MINERVA / OJCSOOJJEXPRES460;460;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53214 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-171;MICROEMPRESASCSOOJJEXPRES171;171;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53215 ;MINERVA / OJ-CS Órganos Judiciales-EXPRES-461;MINERVA / OJCSOOJJEXPRES461;461;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53216 ;SIRAJ2-CS Órganos Judiciales-EXPRES-345;SIRAJ2CSOOJJEXPRES345;345;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53217 ;PORTAFIRMAS-CS Órganos Judiciales-EXPRES-299;PORTAFIRMASCSOOJJEXPRES299;299;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53218 ;AG SEÑALAMIENTOS OJ-Fiscales-EXPRES-123;AG SEÑALAMIENTOS OJFiscalesEXPRES123;123;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53219 ;GESTOR DE USUARIOS-CS Órganos Judiciales-EXPRES-191;GESTOR DE USUARIOSCSOOJJEXPRES191;191;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53220 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-204;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES204;204;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53221 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-205;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES205;205;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53222 ;EVID-CS Órganos Judiciales-EXPRES-225;EVIDCSOOJJEXPRES225;225;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53223 ;SORTEO JURADOS-CS Órganos Judiciales-EXPRES-119;SORTEO JURADOSCSOOJJEXPRES119;119;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53224 ;MINERVA / OJ-CS Órganos Judiciales-EXPRES-462;MINERVA / OJCSOOJJEXPRES462;462;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53225 ;SIRAJ2-CS Órganos Judiciales-EXPRES-346;SIRAJ2CSOOJJEXPRES346;346;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53226 ;FORTUNY-Fiscales-EXPRES-198;FORTUNYFiscalesEXPRES198;198;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53227 ;TEJU-CS Órganos Judiciales-EXPRES-222;TEJUCSOOJJEXPRES222;222;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53228 ;CIBERSEGURIDAD-CS Órganos Judiciales-EXPRES-101;CIBERSEGURIDADCSOOJJEXPRES101;101;100
