URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=53319 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-207;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES207;207;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53320 ;EVID-CS Órganos Judiciales-EXPRES-227;EVIDCSOOJJEXPRES227;227;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53321 ;SORTEO JURADOS-CGF Órganos Judiciales-EXPRES-101;SORTEO JURADOSCGFOOJJEXPRES101;101;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53322 ;MINERVA / OJ-CS Órganos Judiciales-EXPRES-464;MINERVA / OJCSOOJJEXPRES464;464;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53323 ;SIRAJ2-CGF Órganos Judiciales-EXPRES-101;SIRAJ2CGFOOJJEXPRES101;101;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53324 ;FORTUNY-Fiscales-EXPRES-199;FORTUNYFiscalesEXPRES199;199;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53325 ;TEJU-CS Órganos Judiciales-EXPRES-223;TEJUCSOOJJEXPRES223;223;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53326 ;CIBERSEGURIDAD-CS Órganos Judiciales-EXPRES-102;CIBERSEGURIDADCSOOJJEXPRES102;102;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53327 ;MINERVA / OJ-CS Órganos Judiciales-EXPRES-465;MINERVA / OJCSOOJJEXPRES465;465;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53328 ;EFIDELIUS-CS Órganos Judiciales-EXPRES-162;EFIDELIUSCSOOJJEXPRES162;162;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53329 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-208;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES208;208;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53330 ;EVID-CS Órganos Judiciales-EXPRES-228;EVIDCSOOJJEXPRES228;228;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53331 ;PORTAFIRMAS-CS Órganos Judiciales-EXPRES-301;PORTAFIRMASCSOOJJEXPRES301;301;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53332 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-141;VICTIMAS VULNERABLESFiscalesEXPRES141;141;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53333 ;SIRAJ2-CS Órganos Judiciales-EXPRES-348;SIRAJ2CSOOJJEXPRES348;348;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53334 ;AG SEÑALAMIENTOS OJ-Fiscales-EXPRES-125;AG SEÑALAMIENTOS OJFiscalesEXPRES125;125;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53335 ;CITRIX-CS Órganos Judiciales-EXPRES-115;CITRIXCSOOJJEXPRES115;115;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53336 ;SORTEO JURADOS-CS Órganos Judiciales-EXPRES-121;SORTEO JURADOSCSOOJJEXPRES121;121;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53337 ;KENDOJ-CS Órganos Judiciales-EXPRES-146;KENDOJCSOOJJEXPRES146;146;100
