URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=53519 ;PAQUETES DE INCORPORACION-CGF SCG Auxilios Judiciales-CU-112;PAQUETES DE INCORPORACIONCGF SCGOtrosCU112;112;112
https://aulaenlinea.justicia.es:443/course/view.php?id=53520 ;PAQUETES DE INCORPORACION-CGF SCEJ-P-128;PAQUETES DE INCORPORACIONCGFSCEJP128;128;128
https://aulaenlinea.justicia.es:443/course/view.php?id=53521 ;MINERVA / OJ-CGF de Violencia sobre la Mujer-VA-MEDINA DE RIOSECO-104;MINERVA / OJCGFOOJJ VSMVAMEDINA DE RIOSECO104;104;104
https://aulaenlinea.justicia.es:443/course/view.php?id=53522 ;DICIREG-CGF Órganos Judiciales-MU-WEBINAR-110;DICIREGCGFOOJJMUWEBINAR110;110;110
https://aulaenlinea.justicia.es:443/course/view.php?id=53523 ;DICIREG-CGF Órganos Judiciales-MU-WEBINAR-111;DICIREGCGFOOJJMUWEBINAR111;111;111
https://aulaenlinea.justicia.es:443/course/view.php?id=53524 ;MINERVA / OJ-CS Órganos Judiciales-EXPRES-467;MINERVA / OJCSOOJJEXPRES467;467;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53525 ;FORTUNY-Fiscales-EXPRES-200;FORTUNYFiscalesEXPRES200;200;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53526 ;ACCEDA JUSTICIA-CS Órganos Judiciales-EXPRES-236;ACCEDA JUSTICIACSOOJJEXPRES236;236;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53527 ;ACCEDA JUSTICIA-CS Órganos Judiciales-EXPRES-237;ACCEDA JUSTICIACSOOJJEXPRES237;237;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53528 ;EVID-CS Órganos Judiciales-EXPRES-231;EVIDCSOOJJEXPRES231;231;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53529 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-213;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES213;213;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53530 ;CALCULADORA 988-CS Órganos Judiciales-EXPRES-170;CALCULADORA 988CSOOJJEXPRES170;170;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53531 ;PORTAFIRMAS-CS Órganos Judiciales-EXPRES-303;PORTAFIRMASCSOOJJEXPRES303;303;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53532 ;EFIDELIUS-CS Órganos Judiciales-EXPRES-164;EFIDELIUSCSOOJJEXPRES164;164;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53533 ;SIRAJ2-CS Órganos Judiciales-EXPRES-353;SIRAJ2CSOOJJEXPRES353;353;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53534 ;MINERVA / OJ-CS Órganos Judiciales-EXPRES-468;MINERVA / OJCSOOJJEXPRES468;468;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53535 ;DICIREG-CGF Órganos Judiciales-BA-WEBINAR-106;DICIREGCGFOOJJBAWEBINAR106;106;106
