URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=53738 ;VISOR-CGF Órganos Judiciales-EXPRES-174;VISORCGFOOJJEXPRES174;174;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53759 ;EVID-CS Órganos Judiciales-EXPRES-236;EVIDCSOOJJEXPRES236;236;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53760 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-178;MICROEMPRESASCSOOJJEXPRES178;178;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53761 ;EFIDELIUS-CS Órganos Judiciales-EXPRES-165;EFIDELIUSCSOOJJEXPRES165;165;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53762 ;SIRAJ2-CS Órganos Judiciales-EXPRES-357;SIRAJ2CSOOJJEXPRES357;357;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53763 ;VISOR-CS Órganos Judiciales-EXPRES-335;VISORCSOOJJEXPRES335;335;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53764 ;VISOR-Jueces y/o Magistrados-EXPRES-165;VISORJMEXPRES165;165;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53765 ;ESCRITORIO VIRTUAL-CS Órganos Judiciales-EXPRES-133;ESCRITORIO VIRTUALCSOOJJEXPRES133;133;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53766 ;FORTUNY-Fiscales-EXPRES-201;FORTUNYFiscalesEXPRES201;201;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53767 ;VISOR-CGF Órganos Judiciales-EXPRES-175;VISORCGFOOJJEXPRES175;175;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53768 ;EVID-CS Órganos Judiciales-EXPRES-237;EVIDCSOOJJEXPRES237;237;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53769 ;CALCULADORA 988-CS Órganos Judiciales-EXPRES-171;CALCULADORA 988CSOOJJEXPRES171;171;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53770 ;VISOR-CGF Órganos Judiciales-EXPRES-176;VISORCGFOOJJEXPRES176;176;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53771 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-179;MICROEMPRESASCSOOJJEXPRES179;179;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53772 ;SIRAJ2-CS Órganos Judiciales-EXPRES-358;SIRAJ2CSOOJJEXPRES358;358;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53773 ;VISOR-Jueces y/o Magistrados-EXPRES-166;VISORJMEXPRES166;166;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53774 ;EFIDELIUS-CS Órganos Judiciales-EXPRES-166;EFIDELIUSCSOOJJEXPRES166;166;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53775 ;VISOR-CS Órganos Judiciales-EXPRES-336;VISORCSOOJJEXPRES336;336;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53776 ;TEJU-CS Órganos Judiciales-EXPRES-223;TEJUCSOOJJEXPRES223;223;100
