URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=53899 ;SORTEO JURADOS-CS Órganos Judiciales-EXPRES-121;SORTEO JURADOSCSOOJJEXPRES121;121;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53900 ;VISOR-CGF Órganos Judiciales-EXPRES-177;VISORCGFOOJJEXPRES177;177;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53901 ;SIRAJ2-CS Órganos Judiciales-EXPRES-359;SIRAJ2CSOOJJEXPRES359;359;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53902 ;VISOR-CS Órganos Judiciales-EXPRES-337;VISORCSOOJJEXPRES337;337;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53903 ;EVID-CS Órganos Judiciales-EXPRES-238;EVIDCSOOJJEXPRES238;238;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53904 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-180;MICROEMPRESASCSOOJJEXPRES180;180;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53905 ;AG SEÑALAMIENTOS OJ-Fiscales-EXPRES-125;AG SEÑALAMIENTOS OJFiscalesEXPRES125;125;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53906 ;VISOR-Jueces y/o Magistrados-EXPRES-167;VISORJMEXPRES167;167;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53907 ;SIRAJ2-CS Órganos Judiciales-EXPRES-360;SIRAJ2CSOOJJEXPRES360;360;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53908 ;CIBERSEGURIDAD-CS Órganos Judiciales-EXPRES-103;CIBERSEGURIDADCSOOJJEXPRES103;103;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53909 ;VISOR-CGF Órganos Judiciales-EXPRES-178;VISORCGFOOJJEXPRES178;178;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53910 ;VISOR-Jueces y/o Magistrados-EXPRES-168;VISORJMEXPRES168;168;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53911 ;VICTIMAS VULNERABLES-Fiscales-EXPRES-141;VICTIMAS VULNERABLESFiscalesEXPRES141;141;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53912 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-181;MICROEMPRESASCSOOJJEXPRES181;181;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53913 ;OFFICE365-CS Órganos Judiciales-EXPRES-156;OFFICE365CSOOJJEXPRES156;156;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53914 ;VISOR-CGF Órganos Judiciales-EXPRES-179;VISORCGFOOJJEXPRES179;179;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53915 ;EVID-CS Órganos Judiciales-EXPRES-239;EVIDCSOOJJEXPRES239;239;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53916 ;CITRIX-CS Órganos Judiciales-EXPRES-117;CITRIXCSOOJJEXPRES117;117;100
https://aulaenlinea.justicia.es:443/course/view.php?id=53917 ;VISOR-CS Órganos Judiciales-EXPRES-338;VISORCSOOJJEXPRES338;338;100
