URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=54039 ;PAQUETES DE INCORPORACION-CGF SCOP-BU-168;PAQUETES DE INCORPORACIONCGF SCOPBU168;168;168
https://aulaenlinea.justicia.es:443/course/view.php?id=54040 ;MINERVA / OJ-CS Órganos Judiciales-BU-ARANDA DE DUERO-100;MINERVA / OJCSOOJJBUARANDA DE DUERO100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54041 ;ORFILA-Personal colaborador IML-LE-101;ORFILAColabIMLLE101;101;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54042 ;MINERVA / OJ-Jueces y/o Magistrados-LE-100;MINERVA / OJJMLE100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54043 ;MINERVA / OJ-Jueces y/o Magistrados-LE-101;MINERVA / OJJMLE101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=54044 ;MINERVA / OJ-Jueces y/o Magistrados-LE-102;MINERVA / OJJMLE102;102;102
https://aulaenlinea.justicia.es:443/course/view.php?id=54045 ;PAQUETES DE INCORPORACION-CGF Órganos Judiciales-AV-166;PAQUETES DE INCORPORACIONCGFOOJJAV166;166;166
https://aulaenlinea.justicia.es:443/course/view.php?id=54046 ;JUSTICIA DIGITAL-CS Audiencia Nacional (EJE)-M-105;JUSTICIA DIGITALCSAN(EJE)M105;105;105
https://aulaenlinea.justicia.es:443/course/view.php?id=54047 ;PAQUETES DE INCORPORACION-CGF Audiencia Nacional (EJE)-M-230;PAQUETES DE INCORPORACIONCGFAN (EJE)M230;230;231
https://aulaenlinea.justicia.es:443/course/view.php?id=54048 ;PAQUETES DE INCORPORACION-CGF IML-VA-101;PAQUETES DE INCORPORACIONCGFIMLVA101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=54049 ;PAQUETES DE INCORPORACION-CGF Audiencia Nacional (EJE)-M-231;PAQUETES DE INCORPORACIONCGFAN (EJE)M231;231;230
https://aulaenlinea.justicia.es:443/course/view.php?id=54050 ;PAQUETES DE INCORPORACION-CGF Órganos Judiciales-VA-289;PAQUETES DE INCORPORACIONCGFOOJJVA289;289;289
https://aulaenlinea.justicia.es:443/course/view.php?id=54051 ;ACCEDA JUSTICIA-CGF Oficina de Registro y Reparto-IB-MAO-100;ACCEDA JUSTICIACGFORRIBMAO100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54052 ;PAQUETES DE INCORPORACION-CGF Órganos Judiciales-IB-MAO-136;PAQUETES DE INCORPORACIONCGFOOJJ IBMAO136;136;122
https://aulaenlinea.justicia.es:443/course/view.php?id=54053 ;PAQUETES DE INCORPORACION-CGF Órganos Judiciales-IB-PALMA-267;PAQUETES DE INCORPORACIONCGFOOJJIBPALMA267;267;266
