URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=54110 ;EVID-CS Órganos Judiciales-EXPRES-242;EVIDCSOOJJEXPRES242;242;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54111 ;VISOR-CGF Órganos Judiciales-EXPRES-183;VISORCGFOOJJEXPRES183;183;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54112 ;EXPEDIENTES DEL MINISTERIO FISCAL-Fiscales-EXPRES-192;EXPEDIENTES DEL MINISTERIO FISCALFiscalesEXPRES192;192;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54113 ;VISOR-Jueces y/o Magistrados-EXPRES-171;VISORJMEXPRES171;171;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54114 ;EVID-CS Órganos Judiciales-EXPRES-243;EVIDCSOOJJEXPRES243;243;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54115 ;SIRAJ2-CS Órganos Judiciales-EXPRES-363;SIRAJ2CSOOJJEXPRES363;363;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54116 ;ESCRITORIO VIRTUAL-CS Órganos Judiciales-EXPRES-135;ESCRITORIO VIRTUALCSOOJJEXPRES135;135;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54117 ;EXPEDIENTES DEL MINISTERIO FISCAL-Fiscales-EXPRES-193;EXPEDIENTES DEL MINISTERIO FISCALFiscalesEXPRES193;193;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54118 ;AG SEÑALAMIENTOS OJ-Fiscales-EXPRES-126;AG SEÑALAMIENTOS OJFiscalesEXPRES126;126;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54119 ;SIRAJ2-CS Órganos Judiciales-EXPRES-364;SIRAJ2CSOOJJEXPRES364;364;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54120 ;CITRIX-CS Órganos Judiciales-EXPRES-118;CITRIXCSOOJJEXPRES118;118;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54121 ;EVID-CS Órganos Judiciales-EXPRES-244;EVIDCSOOJJEXPRES244;244;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54122 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-184;MICROEMPRESASCSOOJJEXPRES184;184;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54123 ;EXPEDIENTES DEL MINISTERIO FISCAL-Fiscales-EXPRES-194;EXPEDIENTES DEL MINISTERIO FISCALFiscalesEXPRES194;194;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54124 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-185;MICROEMPRESASCSOOJJEXPRES185;185;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54125 ;MINERVA / OJ-CS Órganos Judiciales-EXPRES-471;MINERVA / OJCSOOJJEXPRES471;471;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54126 ;VISOR-CS Órganos Judiciales-EXPRES-340;VISORCSOOJJEXPRES340;340;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54127 ;SORTEO JURADOS-CS Órganos Judiciales-EXPRES-122;SORTEO JURADOSCSOOJJEXPRES122;122;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54128 ;EXPEDIENTES DEL MINISTERIO FISCAL-Fiscales-EXPRES-195;EXPEDIENTES DEL MINISTERIO FISCALFiscalesEXPRES195;195;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54129 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-186;MICROEMPRESASCSOOJJEXPRES186;186;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54130 ;VISOR-CGF Órganos Judiciales-EXPRES-184;VISORCGFOOJJEXPRES184;184;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54131 ;CIBERSEGURIDAD-CGF Órganos Judiciales-EXPRES-207;CIBERSEGURIDADCGFOOJJEXPRES207;207;100
