URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=54229 ;MINERVA / OJ-CS Órganos Judiciales-EXPRES-472;MINERVA / OJCSOOJJEXPRES472;472;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54230 ;VISOR-CS Órganos Judiciales-EXPRES-341;VISORCSOOJJEXPRES341;341;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54231 ;EXPEDIENTES DEL MINISTERIO FISCAL-Fiscales-EXPRES-196;EXPEDIENTES DEL MINISTERIO FISCALFiscalesEXPRES196;196;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54232 ;SIRAJ2-CS Órganos Judiciales-EXPRES-365;SIRAJ2CSOOJJEXPRES365;365;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54233 ;VISOR-CGF Órganos Judiciales-EXPRES-185;VISORCGFOOJJEXPRES185;185;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54234 ;ACCEDA JUSTICIA-CS Órganos Judiciales-EXPRES-239;ACCEDA JUSTICIACSOOJJEXPRES239;239;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54235 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-187;MICROEMPRESASCSOOJJEXPRES187;187;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54236 ;VISOR-CGF Órganos Judiciales-EXPRES-186;VISORCGFOOJJEXPRES186;186;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54237 ;PORTAFIRMAS-CS Órganos Judiciales-EXPRES-305;PORTAFIRMASCSOOJJEXPRES305;305;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54238 ;EVID-CS Órganos Judiciales-EXPRES-245;EVIDCSOOJJEXPRES245;245;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54239 ;VISOR-Jueces y/o Magistrados-EXPRES-172;VISORJMEXPRES172;172;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54240 ;EVID-CS Órganos Judiciales-EXPRES-246;EVIDCSOOJJEXPRES246;246;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54241 ;ESCRITORIO VIRTUAL-CS Órganos Judiciales-EXPRES-136;ESCRITORIO VIRTUALCSOOJJEXPRES136;136;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54242 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-188;MICROEMPRESASCSOOJJEXPRES188;188;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54243 ;SIRAJ2-CS Órganos Judiciales-EXPRES-366;SIRAJ2CSOOJJEXPRES366;366;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54244 ;EXPEDIENTES DEL MINISTERIO FISCAL-Fiscales-EXPRES-197;EXPEDIENTES DEL MINISTERIO FISCALFiscalesEXPRES197;197;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54245 ;EXPEDIENTES DEL MINISTERIO FISCAL-Fiscales-EXPRES-198;EXPEDIENTES DEL MINISTERIO FISCALFiscalesEXPRES198;198;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54246 ;VISOR-Jueces y/o Magistrados-EXPRES-173;VISORJMEXPRES173;173;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54247 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-189;MICROEMPRESASCSOOJJEXPRES189;189;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54248 ;PAQUETES DE INCORPORACION-CS Órganos Judiciales-MU-CARTAGENA-109;PAQUETES DE INCORPORACIONCSOOJJMUCARTAGENA109;109;109
