URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=54259 ;PAQUETES DE INCORPORACION-CGF UPAD-LE-VILLABLINO-101;PAQUETES DE INCORPORACIONCGF UPADLEVILLABLINO101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=54260 ;PAQUETES DE INCORPORACION-CGF Órganos Judiciales-BA-JEREZ DE LOS CABALLEROS-104;PAQUETES DE INCORPORACIONCGFOOJJBAJEREZ DE LOS CABALLEROS104;104;104
https://aulaenlinea.justicia.es:443/course/view.php?id=54261 ;INFOREG-CGF Órganos Judiciales-BA-JEREZ DE LOS CABALLEROS-101;INFOREGCGFOOJJBAJEREZ DE LOS CABALLEROS101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=54262 ;VIDEOCONFERENCIA-CGF Órganos Judiciales-ZA-VILLALPANDO-101;VIDEOCONFERENCIACGFOOJJZAVILLALPANDO101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=54263 ;PAQUETES DE INCORPORACION-Jueces y/o Magistrados-AB-102;PAQUETES DE INCORPORACIONJMAB102;102;102
https://aulaenlinea.justicia.es:443/course/view.php?id=54264 ;PAQUETES DE INCORPORACION-Jueces y/o Magistrados-AB-103;PAQUETES DE INCORPORACIONJMAB103;103;103
https://aulaenlinea.justicia.es:443/course/view.php?id=54265 ;PAQUETES DE INCORPORACION-CGF SCRRDA-LE-103;PAQUETES DE INCORPORACIONCGFSCRRDALE103;103;103
https://aulaenlinea.justicia.es:443/course/view.php?id=54266 ;MINERVA / OJ-CGF Tribunal Supremo-M-152;MINERVA / OJCGFTSM152;152;152
https://aulaenlinea.justicia.es:443/course/view.php?id=54267 ;MINERVA / OJ-CGF Tribunal Supremo-M-153;MINERVA / OJCGFTSM153;153;153
https://aulaenlinea.justicia.es:443/course/view.php?id=54268 ;EVID-CGF Órganos Judiciales-SA-117;EVIDCGFOOJJSA117;117;116
