URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=54319 ;PAQUETES DE INCORPORACION-CS SCOP-BU-103;PAQUETES DE INCORPORACIONCS SCOPBU103;103;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54320 ;ACCEDA JUSTICIA-CGF Órganos Colegiados-IB-PALMA-102;ACCEDA JUSTICIACGFOCIBPALMA102;102;102
https://aulaenlinea.justicia.es:443/course/view.php?id=54321 ;ORFILA-Formación de formadores-ONLINE SINC-ONLINE SINC-100;ORFILAFdFONLINE SINCONLINE SINC100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54322 ;MINERVA / OJ-CGF Tribunal Supremo-M-156;MINERVA / OJCGFTSM156;156;156
https://aulaenlinea.justicia.es:443/course/view.php?id=54323 ;MINERVA / OJ-CGF Tribunal Supremo-M-157;MINERVA / OJCGFTSM157;157;157
https://aulaenlinea.justicia.es:443/course/view.php?id=54324 ;ORFILA-Personal colaborador IML-SG-100;ORFILAColabIMLSG100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54325 ;EVID-CGF SCOP-P-111;EVIDCGFSCOPP111;111;111
https://aulaenlinea.justicia.es:443/course/view.php?id=54326 ;PERITA-CGF UPAD-P-100;PERITACGF UPADP100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54327 ;PAQUETES DE INCORPORACION-CGF Órganos Judiciales-VA-292;PAQUETES DE INCORPORACIONCGFOOJJVA292;292;292
https://aulaenlinea.justicia.es:443/course/view.php?id=54328 ;PERITA-CGF SCOP-BU-100;PERITACGFSCOPBU100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54329 ;SIRAJ2-CGF UPAD-BU-100;SIRAJ2CGF UPADBU100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54330 ;PAQUETES DE INCORPORACION-CGF Órganos Judiciales-MU-121;PAQUETES DE INCORPORACIONCGFOOJJMU121;121;121
https://aulaenlinea.justicia.es:443/course/view.php?id=54331 ;VISOR-CGF Órganos Judiciales-EXPRES-187;VISORCGFOOJJEXPRES187;187;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54332 ;EVID-CS Órganos Judiciales-EXPRES-247;EVIDCSOOJJEXPRES247;247;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54333 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-190;MICROEMPRESASCSOOJJEXPRES190;190;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54334 ;MINERVA / OJ-CS Órganos Judiciales-EXPRES-473;MINERVA / OJCSOOJJEXPRES473;473;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54335 ;ESCRITORIO VIRTUAL-CS Órganos Judiciales-EXPRES-137;ESCRITORIO VIRTUALCSOOJJEXPRES137;137;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54336 ;SIRAJ2-CS Órganos Judiciales-EXPRES-367;SIRAJ2CSOOJJEXPRES367;367;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54337 ;EXPEDIENTES DEL MINISTERIO FISCAL-Fiscales-EXPRES-199;EXPEDIENTES DEL MINISTERIO FISCALFiscalesEXPRES199;199;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54338 ;VISOR-CS Órganos Judiciales-EXPRES-342;VISORCSOOJJEXPRES342;342;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54339 ;EXPEDIENTES DEL MINISTERIO FISCAL-Fiscales-EXPRES-200;EXPEDIENTES DEL MINISTERIO FISCALFiscalesEXPRES200;200;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54340 ;EVID-CS Órganos Judiciales-EXPRES-248;EVIDCSOOJJEXPRES248;248;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54341 ;VISOR-CGF Órganos Judiciales-EXPRES-188;VISORCGFOOJJEXPRES188;188;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54342 ;EXPEDIENTES DEL MINISTERIO FISCAL-Fiscales-EXPRES-201;EXPEDIENTES DEL MINISTERIO FISCALFiscalesEXPRES201;201;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54343 ;AG SEÑALAMIENTOS OJ-Fiscales-EXPRES-127;AG SEÑALAMIENTOS OJFiscalesEXPRES127;127;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54344 ;MINERVA / OJ-CS Órganos Judiciales-EXPRES-474;MINERVA / OJCSOOJJEXPRES474;474;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54345 ;VISOR-Jueces y/o Magistrados-EXPRES-174;VISORJMEXPRES174;174;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54346 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-191;MICROEMPRESASCSOOJJEXPRES191;191;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54347 ;SIRAJ2-CS Órganos Judiciales-EXPRES-368;SIRAJ2CSOOJJEXPRES368;368;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54348 ;VISOR-CGF Órganos Judiciales-EXPRES-189;VISORCGFOOJJEXPRES189;189;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54349 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-192;MICROEMPRESASCSOOJJEXPRES192;192;100
