URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=54406 ;EXPEDIENTES DEL MINISTERIO FISCAL-Fiscales-EXPRES-202;EXPEDIENTES DEL MINISTERIO FISCALFiscalesEXPRES202;202;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54407 ;SIRAJ2-CS Órganos Judiciales-EXPRES-369;SIRAJ2CSOOJJEXPRES369;369;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54408 ;VISOR-CS Órganos Judiciales-EXPRES-343;VISORCSOOJJEXPRES343;343;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54409 ;EVID-CS Órganos Judiciales-EXPRES-249;EVIDCSOOJJEXPRES249;249;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54410 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-193;MICROEMPRESASCSOOJJEXPRES193;193;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54411 ;VISOR-CGF Órganos Judiciales-EXPRES-190;VISORCGFOOJJEXPRES190;190;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54412 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-194;MICROEMPRESASCSOOJJEXPRES194;194;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54413 ;EFIDELIUS-CS Órganos Judiciales-EXPRES-167;EFIDELIUSCSOOJJEXPRES167;167;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54414 ;VISOR-Jueces y/o Magistrados-EXPRES-175;VISORJMEXPRES175;175;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54415 ;EXPEDIENTES DEL MINISTERIO FISCAL-Fiscales-EXPRES-203;EXPEDIENTES DEL MINISTERIO FISCALFiscalesEXPRES203;203;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54416 ;SIRAJ2-CS Órganos Judiciales-EXPRES-370;SIRAJ2CSOOJJEXPRES370;370;100
