URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=54479 ;PAQUETES DE INCORPORACION-CGF SCOP-P-128;PAQUETES DE INCORPORACIONCGF SCOPP128;128;128
https://aulaenlinea.justicia.es:443/course/view.php?id=54480 ;PERITA-CGF UPAD-LE-100;PERITACGF UPADLE100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54481 ;PAQUETES DE INCORPORACION-CGF SCOP-BU-171;PAQUETES DE INCORPORACIONCGF SCOPBU171;171;171
https://aulaenlinea.justicia.es:443/course/view.php?id=54482 ;PAQUETES DE INCORPORACION-CGF Fiscalías-M-142;PAQUETES DE INCORPORACIONCGFFiscaliasM142;142;142
https://aulaenlinea.justicia.es:443/course/view.php?id=54483 ;PAQUETES DE INCORPORACION-CGF Registro Civil Central-M-171;PAQUETES DE INCORPORACIONCGFRCCM171;171;171
https://aulaenlinea.justicia.es:443/course/view.php?id=54484 ;REAJ-CGF Órganos Judiciales-AB-ONLINE_SINC-101;REAJCGFOOJJABONLINE_SINC101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=54485 ;DICIREG-CGF Órganos Judiciales-AB-WEBINAR-111;DICIREGCGFOOJJABWEBINAR111;111;111
https://aulaenlinea.justicia.es:443/course/view.php?id=54486 ;DICIREG-CGF Órganos Judiciales-AB-WEBINAR-112;DICIREGCGFOOJJABWEBINAR112;112;112
https://aulaenlinea.justicia.es:443/course/view.php?id=54487 ;DICIREG-CGF Órganos Judiciales-TO-WEBINAR-102;DICIREGCGFOOJJTOWEBINAR102;102;102
https://aulaenlinea.justicia.es:443/course/view.php?id=54488 ;DICIREG-CGF Órganos Judiciales-TO-WEBINAR-103;DICIREGCGFOOJJTOWEBINAR103;103;103
https://aulaenlinea.justicia.es:443/course/view.php?id=54489 ;DICIREG-CGF Órganos Judiciales-CC-WEBINAR-104;DICIREGCGFOOJJCCWEBINAR104;104;104
https://aulaenlinea.justicia.es:443/course/view.php?id=54490 ;DICIREG-CGF Órganos Judiciales-CC-WEBINAR-105;DICIREGCGFOOJJCCWEBINAR105;105;105
https://aulaenlinea.justicia.es:443/course/view.php?id=54491 ;DICIREG-CGF Órganos Judiciales-TO-WEBINAR-104;DICIREGCGFOOJJTOWEBINAR104;104;104
https://aulaenlinea.justicia.es:443/course/view.php?id=54492 ;DICIREG-CGF Órganos Judiciales-TO-WEBINAR-105;DICIREGCGFOOJJTOWEBINAR105;105;105
https://aulaenlinea.justicia.es:443/course/view.php?id=54493 ;PAQUETES DE INCORPORACION-CGF Órganos Colegiados-BA-ONLINE SINC-101;PAQUETES DE INCORPORACIONCGFOCBAONLINE SINC101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=54494 ;REAJ-CS Órganos Judiciales-ZA-PUEBLA DE SANABRIA-101;REAJCSOOJJZAPUEBLA DE SANABRIA101;101;101
