URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=54512 ;AG SEÑALAMIENTOS OJ-Fiscales-EXPRES-128;AG SEÑALAMIENTOS OJFiscalesEXPRES128;128;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54513 ;SIRAJ2-CS Órganos Judiciales-EXPRES-371;SIRAJ2CSOOJJEXPRES371;371;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54514 ;EXPEDIENTES DEL MINISTERIO FISCAL-Fiscales-EXPRES-204;EXPEDIENTES DEL MINISTERIO FISCALFiscalesEXPRES204;204;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54515 ;ACCEDA JUSTICIA-CS Órganos Judiciales-EXPRES-240;ACCEDA JUSTICIACSOOJJEXPRES240;240;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54516 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-195;MICROEMPRESASCSOOJJEXPRES195;195;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54517 ;ESCRITORIO VIRTUAL-CS Órganos Judiciales-EXPRES-138;ESCRITORIO VIRTUALCSOOJJEXPRES138;138;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54518 ;VISOR-Jueces y/o Magistrados-EXPRES-176;VISORJMEXPRES176;176;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54519 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-214;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES214;214;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54520 ;EVID-CS Órganos Judiciales-EXPRES-250;EVIDCSOOJJEXPRES250;250;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54521 ;VISOR-CS Órganos Judiciales-EXPRES-344;VISORCSOOJJEXPRES344;344;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54522 ;EXPEDIENTES DEL MINISTERIO FISCAL-Fiscales-EXPRES-205;EXPEDIENTES DEL MINISTERIO FISCALFiscalesEXPRES205;205;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54523 ;VISOR-CGF Órganos Judiciales-EXPRES-191;VISORCGFOOJJEXPRES191;191;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54524 ;MINERVA / OJ-CS Órganos Judiciales-EXPRES-475;MINERVA / OJCSOOJJEXPRES475;475;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54525 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-215;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES215;215;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54526 ;OFFICE365-CS Órganos Judiciales-EXPRES-158;OFFICE365CSOOJJEXPRES158;158;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54527 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-196;MICROEMPRESASCSOOJJEXPRES196;196;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54528 ;MINERVA / OJ-CS Órganos Judiciales-EXPRES-476;MINERVA / OJCSOOJJEXPRES476;476;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54529 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-216;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES216;216;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54530 ;EFIDELIUS-CS Órganos Judiciales-EXPRES-168;EFIDELIUSCSOOJJEXPRES168;168;100
