URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=54539 ;REAJ-CGF Órganos Judiciales-ZA-BENAVENTE-100;REAJCGFOOJJZABENAVENTE100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54540 ;REAJ-CS Órganos Judiciales-ZA-BENAVENTE-100;REAJCSOOJJZABENAVENTE100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54541 ;REAJ-CS Órganos Judiciales-ZA-102;REAJCSOOJJZA102;102;102
https://aulaenlinea.justicia.es:443/course/view.php?id=54542 ;REAJ-CGF Órganos Judiciales-ZA-100;REAJCGFOOJJZA100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54543 ;MICROEMPRESAS-CGF Órganos Judiciales-VA-101;MICROEMPRESASCGFOOJJVA101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=54544 ;MICROEMPRESAS-CGF Órganos Judiciales-VA-102;MICROEMPRESASCGFOOJJVA102;102;102
https://aulaenlinea.justicia.es:443/course/view.php?id=54545 ;PAQUETES DE INCORPORACION-CGF Audiencia Nacional (EJE)-M-233;PAQUETES DE INCORPORACIONCGFAN (EJE)M233;233;233
https://aulaenlinea.justicia.es:443/course/view.php?id=54546 ;SIRAJ2-CGF UPAD-LE-100;SIRAJ2CGF UPADLE100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54547 ;PAQUETES DE INCORPORACION-CGF Vigilancia Penitenciaria-M-108;PAQUETES DE INCORPORACIONCGFOOJJ VPM108;108;108
https://aulaenlinea.justicia.es:443/course/view.php?id=54548 ;MINERVA / OJ-CGF Tribunal Supremo-M-160;MINERVA / OJCGFTSM160;160;160
https://aulaenlinea.justicia.es:443/course/view.php?id=54549 ;REAJ-CGF Órganos Judiciales-VA-103;REAJCGFOOJJVA103;103;103
https://aulaenlinea.justicia.es:443/course/view.php?id=54550 ;REAJ-CGF Órganos Judiciales-VA-104;REAJCGFOOJJVA104;104;104
https://aulaenlinea.justicia.es:443/course/view.php?id=54551 ;REAJ-CGF Órganos Judiciales-VA-105;REAJCGFOOJJVA105;105;105
