URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=54770 ;EVID-CGF Órganos Judiciales-SA-128;EVIDCGFOOJJSA128;128;128
https://aulaenlinea.justicia.es:443/course/view.php?id=54771 ;EVID-CGF Órganos Judiciales-SA-129;EVIDCGFOOJJSA129;129;129
https://aulaenlinea.justicia.es:443/course/view.php?id=54772 ;MINERVA / OJ-CGF Órganos Judiciales-LE-PONFERRADA-104;MINERVA / OJCGFOOJJLEPONFERRADA104;104;104
https://aulaenlinea.justicia.es:443/course/view.php?id=54773 ;MINERVA / OJ-CGF Órganos Judiciales-LE-PONFERRADA-105;MINERVA / OJCGFOOJJLEPONFERRADA105;105;105
https://aulaenlinea.justicia.es:443/course/view.php?id=54774 ;MINERVA / OJ-CGF Órganos Judiciales-LE-PONFERRADA-106;MINERVA / OJCGFOOJJLEPONFERRADA106;106;106
https://aulaenlinea.justicia.es:443/course/view.php?id=54775 ;ACCEDA JUSTICIA-CGF Tribunal Supremo-M-110;ACCEDA JUSTICIACGFTSM110;110;109
https://aulaenlinea.justicia.es:443/course/view.php?id=54776 ;ACCEDA JUSTICIA-CGF Tribunal Supremo-M-111;ACCEDA JUSTICIACGFTSM111;111;110
https://aulaenlinea.justicia.es:443/course/view.php?id=54777 ;PAQUETES DE INCORPORACION-CGF SCEJ-M-104;PAQUETES DE INCORPORACIONCGFSCEJM104;104;130
https://aulaenlinea.justicia.es:443/course/view.php?id=54778 ;EVID-CGF Órganos Judiciales-SA-130;EVIDCGFOOJJSA130;130;130
https://aulaenlinea.justicia.es:443/course/view.php?id=54779 ;EVID-CGF Órganos Judiciales-SA-131;EVIDCGFOOJJSA131;131;131
https://aulaenlinea.justicia.es:443/course/view.php?id=54780 ;EVID-CGF Órganos Judiciales-SA-132;EVIDCGFOOJJSA132;132;132
