URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=54859 ;PAQUETES DE INCORPORACION-CGF SCACE-BA-ONLINE SINC-101;PAQUETES DE INCORPORACIONCGFSCACEBAONLINE SINC101;101;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54860 ;PAQUETES DE INCORPORACION-CGF de Violencia sobre la Mujer-IB-INCA-105;PAQUETES DE INCORPORACIONCGFOOJJ VSMIBINCA105;105;104
https://aulaenlinea.justicia.es:443/course/view.php?id=54861 ;PAQUETES DE INCORPORACION-CGF SCOP-LE-133;PAQUETES DE INCORPORACIONCGF SCOPLE133;133;133
https://aulaenlinea.justicia.es:443/course/view.php?id=54862 ;PAQUETES DE INCORPORACION-CGF SCOP-BU-173;PAQUETES DE INCORPORACIONCGF SCOPBU173;173;173
https://aulaenlinea.justicia.es:443/course/view.php?id=54863 ;REAJ-CGF Órganos Judiciales-VA-110;REAJCGFOOJJVA110;110;106
https://aulaenlinea.justicia.es:443/course/view.php?id=54864 ;ACCEDA JUSTICIA-CGF Tribunal Supremo-M-112;ACCEDA JUSTICIACGFTSM112;112;112
https://aulaenlinea.justicia.es:443/course/view.php?id=54865 ;ACCEDA JUSTICIA-CGF Tribunal Supremo-M-113;ACCEDA JUSTICIACGFTSM113;113;113
https://aulaenlinea.justicia.es:443/course/view.php?id=54866 ;PAQUETES DE INCORPORACION-CGF SCOP-BU-174;PAQUETES DE INCORPORACIONCGF SCOPBU174;174;173
https://aulaenlinea.justicia.es:443/course/view.php?id=54867 ;EVID-CGF Órganos Judiciales-BA-MERIDA-100;EVIDCGFOOJJBAMERIDA100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54868 ;SIRAJ2-CGF Órganos Judiciales-BA-MONTIJO-101;SIRAJ2CGFOOJJBAMONTIJO101;101;101
