URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=54891 ;ACCEDA JUSTICIA-CGF Tribunal Supremo-M-114;ACCEDA JUSTICIACGFTSM114;114;114
https://aulaenlinea.justicia.es:443/course/view.php?id=54892 ;ACCEDA JUSTICIA-CGF Tribunal Supremo-M-115;ACCEDA JUSTICIACGFTSM115;115;115
https://aulaenlinea.justicia.es:443/course/view.php?id=54893 ;PAQUETES DE INCORPORACION-CGF SCOP-P-129;PAQUETES DE INCORPORACIONCGF SCOPP129;129;129
https://aulaenlinea.justicia.es:443/course/view.php?id=54894 ;PAQUETES DE INCORPORACION-CGF Fiscalías-VA-133;PAQUETES DE INCORPORACIONCGFFiscaliasVA133;133;133
https://aulaenlinea.justicia.es:443/course/view.php?id=54895 ;ACCEDA JUSTICIA-CGF Tribunal Supremo-M-116;ACCEDA JUSTICIACGFTSM116;116;116
https://aulaenlinea.justicia.es:443/course/view.php?id=54896 ;ACCEDA JUSTICIA-CGF Tribunal Supremo-M-117;ACCEDA JUSTICIACGFTSM117;117;117
https://aulaenlinea.justicia.es:443/course/view.php?id=54897 ;ATENEA-CGF Órganos Judiciales-SA-100;ATENEACGFOOJJSA100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54898 ;ATENEA-CGF Órganos Judiciales-SA-101;ATENEACGFOOJJSA101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=54899 ;PAQUETES DE INCORPORACION-CGF SCOP-BU-174;PAQUETES DE INCORPORACIONCGF SCOPBU174;174;175
https://aulaenlinea.justicia.es:443/course/view.php?id=54900 ;PAQUETES DE INCORPORACION-CGF Órganos Judiciales-AV-168;PAQUETES DE INCORPORACIONCGFOOJJAV168;168;168
https://aulaenlinea.justicia.es:443/course/view.php?id=54901 ;REAJ-CGF Órganos Colegiados-VA-100;REAJCGFOCVA100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54902 ;EVID-CGF Órganos Colegiados-VA-100;EVIDCGFOCVA100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54903 ;PAQUETES DE INCORPORACION-CGF Audiencia Nacional-M-230;PAQUETES DE INCORPORACIONCGFANM230;230;230
https://aulaenlinea.justicia.es:443/course/view.php?id=54904 ;EVID-CS Órganos Judiciales-SO-104;EVIDCSOOJJSO104;104;104
https://aulaenlinea.justicia.es:443/course/view.php?id=54905 ;EVID-CGF Órganos Judiciales-SO-104;EVIDCGFOOJJSO104;104;104
https://aulaenlinea.justicia.es:443/course/view.php?id=54906 ;EVID-CGF Órganos Judiciales-SO-105;EVIDCGFOOJJSO105;105;105
