URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=54907 ;EDES-Fiscales-EXPRES-114;EDESFiscalesEXPRES114;114;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54908 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-223;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES223;223;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54909 ;EXPEDIENTES DEL MINISTERIO FISCAL-Fiscales-EXPRES-210;EXPEDIENTES DEL MINISTERIO FISCALFiscalesEXPRES210;210;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54910 ;EDES-Fiscales-EXPRES-115;EDESFiscalesEXPRES115;115;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54911 ;VISOR-CGF Órganos Judiciales-EXPRES-194;VISORCGFOOJJEXPRES194;194;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54912 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-201;MICROEMPRESASCSOOJJEXPRES201;201;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54913 ;EDES-Fiscales-EXPRES-116;EDESFiscalesEXPRES116;116;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54914 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-202;MICROEMPRESASCSOOJJEXPRES202;202;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54915 ;EDES-Fiscales-EXPRES-117;EDESFiscalesEXPRES117;117;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54916 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-224;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES224;224;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54917 ;VISOR-Jueces y/o Magistrados-EXPRES-179;VISORJMEXPRES179;179;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54918 ;VISOR-CS Órganos Judiciales-EXPRES-347;VISORCSOOJJEXPRES347;347;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54919 ;EDES-Fiscales-EXPRES-118;EDESFiscalesEXPRES118;118;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54920 ;EVID-CS Órganos Judiciales-EXPRES-253;EVIDCSOOJJEXPRES253;253;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54921 ;EXPEDIENTES DEL MINISTERIO FISCAL-Fiscales-EXPRES-211;EXPEDIENTES DEL MINISTERIO FISCALFiscalesEXPRES211;211;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54922 ;EDES-Fiscales-EXPRES-119;EDESFiscalesEXPRES119;119;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54923 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-225;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES225;225;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54924 ;EDES-Fiscales-EXPRES-120;EDESFiscalesEXPRES120;120;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54925 ;SIRAJ2-CS Órganos Judiciales-EXPRES-374;SIRAJ2CSOOJJEXPRES374;374;100
https://aulaenlinea.justicia.es:443/course/view.php?id=54926 ;PAQUETES DE INCORPORACION-CGF Órganos Colegiados-IB-PALMA-176;PAQUETES DE INCORPORACIONCGFOCIBPALMA176;176;176
