URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=55002 ;PAQUETES DE INCORPORACION-CGF SCG Auxilios Judiciales-CR-CIUDAD REAL-100;PAQUETES DE INCORPORACIONCGF SCGOtrosCRCIUDAD REAL100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55003 ;PAQUETES DE INCORPORACION-CGF Órganos Judiciales-CR-ONLINE SINC-119;PAQUETES DE INCORPORACIONCGFOOJJCRONLINE SINC119;119;119
https://aulaenlinea.justicia.es:443/course/view.php?id=55004 ;PAQUETES DE INCORPORACION-CGF Órganos Judiciales-IB-PALMA-272;PAQUETES DE INCORPORACIONCGFOOJJIBPALMA272;272;272
https://aulaenlinea.justicia.es:443/course/view.php?id=55005 ;MINERVA / OJ-CGF SCRRDA-IB-PALMA-100;MINERVA / OJCGFSCRRDAIBPALMA100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55006 ;ACCEDA JUSTICIA-CGF Tribunal Supremo-M-124;ACCEDA JUSTICIACGFTSM124;124;124
https://aulaenlinea.justicia.es:443/course/view.php?id=55007 ;ACCEDA JUSTICIA-CGF Tribunal Supremo-M-125;ACCEDA JUSTICIACGFTSM125;125;125
https://aulaenlinea.justicia.es:443/course/view.php?id=55008 ;PAQUETES DE INCORPORACION-CGF Audiencia Nacional (EJE)-M-237;PAQUETES DE INCORPORACIONCGFAN (EJE)M237;237;237
https://aulaenlinea.justicia.es:443/course/view.php?id=55009 ;EVID-CGF Órganos Judiciales-SA-133;EVIDCGFOOJJSA133;133;133
https://aulaenlinea.justicia.es:443/course/view.php?id=55010 ;REAJ-CGF Órganos Colegiados-VA-102;REAJCGFOCVA102;102;102
https://aulaenlinea.justicia.es:443/course/view.php?id=55011 ;EVID-CGF Órganos Colegiados-VA-102;EVIDCGFOCVA102;102;102
https://aulaenlinea.justicia.es:443/course/view.php?id=55012 ;EVID-CGF Órganos Judiciales-VA-110;EVIDCGFOOJJVA110;110;110
https://aulaenlinea.justicia.es:443/course/view.php?id=55013 ;EVID-CGF Órganos Judiciales-VA-111;EVIDCGFOOJJVA111;111;111
