URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=55014 ;DICIREG-CGF Órganos Judiciales-SA-WEBINAR-100;DICIREGCGFOOJJSAWEBINAR100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55015 ;DICIREG-CGF Órganos Judiciales-SA-WEBINAR-101;DICIREGCGFOOJJSAWEBINAR101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=55016 ;DICIREG-CGF Órganos Judiciales-P-WEBINAR-100;DICIREGCGFOOJJPWEBINAR100;100;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55017 ;DICIREG-CGF Órganos Judiciales-P-WEBINAR-101;DICIREGCGFOOJJPWEBINAR101;101;101
https://aulaenlinea.justicia.es:443/course/view.php?id=55018 ;DICIREG-CGF Órganos Judiciales-SG-WEBINAR-102;DICIREGCGFOOJJSGWEBINAR102;102;102
https://aulaenlinea.justicia.es:443/course/view.php?id=55019 ;DICIREG-CGF Órganos Judiciales-SG-WEBINAR-103;DICIREGCGFOOJJSGWEBINAR103;103;103
https://aulaenlinea.justicia.es:443/course/view.php?id=55020 ;ACCEDA JUSTICIA-CGF Tribunal Supremo-M-126;ACCEDA JUSTICIACGFTSM126;126;126
https://aulaenlinea.justicia.es:443/course/view.php?id=55021 ;ACCEDA JUSTICIA-CGF Tribunal Supremo-M-127;ACCEDA JUSTICIACGFTSM127;127;127
https://aulaenlinea.justicia.es:443/course/view.php?id=55042 ;PAQUETES DE INCORPORACION-CGF Audiencia Nacional-M-231;PAQUETES DE INCORPORACIONCGFANM231;231;231
https://aulaenlinea.justicia.es:443/course/view.php?id=55043 ;PAQUETES DE INCORPORACION-CGF Fiscalías-M-144;PAQUETES DE INCORPORACIONCGFFiscaliasM144;144;144
