URL;Full Name;Short Name;Suffix Web;Suffix Excel
https://aulaenlinea.justicia.es:443/course/view.php?id=55266 ;EVID-CS Órganos Judiciales-EXPRES-257;EVIDCSOOJJEXPRES257;257;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55267 ;ADIA-CS Órganos Judiciales-EXPRES-103;ADIACSOOJJEXPRES103;103;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55268 ;EXPEDIENTES DEL MINISTERIO FISCAL-Fiscales-EXPRES-216;EXPEDIENTES DEL MINISTERIO FISCALFiscalesEXPRES216;216;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55269 ;EDES-Fiscales-EXPRES-128;EDESFiscalesEXPRES128;128;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55270 ;VISOR-CS Órganos Judiciales-EXPRES-350;VISORCSOOJJEXPRES350;350;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55271 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-231;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES231;231;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55272 ;SIRAJ2-CS Órganos Judiciales-EXPRES-378;SIRAJ2CSOOJJEXPRES378;378;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55273 ;ADIA-CS Órganos Judiciales-EXPRES-104;ADIACSOOJJEXPRES104;104;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55274 ;VISOR-CGF Órganos Judiciales-EXPRES-197;VISORCGFOOJJEXPRES197;197;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55275 ;EDES-Fiscales-EXPRES-129;EDESFiscalesEXPRES129;129;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55276 ;EXPEDIENTES DE PROTECCIÓN DE MENORES-Fiscales-EXPRES-232;EXPEDIENTES DE PROTECCIÓN DE MENORESFiscalesEXPRES232;232;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55277 ;ADIA-CS Órganos Judiciales-EXPRES-105;ADIACSOOJJEXPRES105;105;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55278 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-207;MICROEMPRESASCSOOJJEXPRES207;207;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55279 ;SIRAJ2-CS Órganos Judiciales-EXPRES-379;SIRAJ2CSOOJJEXPRES379;379;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55280 ;EDES-Fiscales-EXPRES-130;EDESFiscalesEXPRES130;130;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55281 ;VISOR-Jueces y/o Magistrados-EXPRES-182;VISORJMEXPRES182;182;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55282 ;EVID-CS Órganos Judiciales-EXPRES-258;EVIDCSOOJJEXPRES258;258;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55283 ;EXPEDIENTES DEL MINISTERIO FISCAL-Fiscales-EXPRES-217;EXPEDIENTES DEL MINISTERIO FISCALFiscalesEXPRES217;217;100
https://aulaenlinea.justicia.es:443/course/view.php?id=55284 ;MICROEMPRESAS-CS Órganos Judiciales-EXPRES-208;MICROEMPRESASCSOOJJEXPRES208;208;100
